,原文,主题分布向量
255,一个判官不知道打不打得过,0.071 0.071 0.071 0.071 0.071 0.571 0.071
256,必须行政拘留,0.071 0.071 0.071 0.071 0.071 0.071 0.571
257,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
258,1.一直存在高铁动车位置乱坐乱换现象可以上车后立马检查人位对应 2.出现这种事情最直接是旁观者他们的无作为让该女子遭受10分钟左右的折磨真的很难相信有这么多冷漠的存在 3.乘务人员是有失职的出现打闹事件还出现这么长时间该反省一下内部人员问题 希望社会多点关心多点爱工作认真负责,0.029 0.029 0.029 0.029 0.828 0.029 0.029
259,真能耐啊 黑社会吗 扫黑除恶这帮人隐姓埋名了吗,0.036 0.036 0.036 0.036 0.786 0.036 0.036
260,太嚣张了吧,0.071 0.071 0.072 0.071 0.071 0.071 0.571
261,占座不管以后这种事会越来越多,0.071 0.071 0.071 0.071 0.571 0.071 0.071
262,唉😔现在越来越目无王法了...,0.571 0.071 0.071 0.071 0.071 0.071 0.071
263,所以乘警在哪里呢,0.071 0.071 0.071 0.071 0.071 0.571 0.071
264,车上的乘警👮去哪了,0.048 0.714 0.048 0.048 0.048 0.048 0.048
265,坚决不接受调解必须严惩作孽者,0.071 0.071 0.071 0.071 0.071 0.571 0.071
266,简直无法无天,0.071 0.071 0.071 0.071 0.071 0.571 0.071
267,太猖狂了吧,0.071 0.071 0.071 0.571 0.071 0.071 0.071
268,派出所可别和稀泥,0.071 0.071 0.071 0.071 0.071 0.571 0.071
269,光天化日 无法无天 叉出去 以后永远不要让他们出行 拉黑名单 关小黑屋,0.020 0.735 0.020 0.020 0.020 0.020 0.163
270,再不严惩这个世道还成不成了恶鬼横行,0.071 0.071 0.571 0.071 0.071 0.071 0.071
271,太嚣张了拉入黑名单啊,0.071 0.071 0.071 0.071 0.071 0.071 0.571
272,这种人为啥要打码,0.071 0.071 0.571 0.071 0.071 0.071 0.071
273,不和解,0.071 0.071 0.071 0.071 0.571 0.071 0.071
274,有些人为什么那么野蛮,0.071 0.071 0.071 0.071 0.071 0.571 0.071
275,这得黑名单了吧不给点惩罚吗,0.571 0.071 0.071 0.071 0.071 0.071 0.071
276,10分钟没有工作人员来 想想可怕,0.048 0.048 0.048 0.048 0.714 0.048 0.048
277,太嚣张了吧,0.071 0.071 0.072 0.071 0.071 0.071 0.571
278,还手的话会被判互殴吗会罚款吗,0.071 0.071 0.071 0.571 0.071 0.071 0.071
279,希望警方严格执法别和稀泥,0.071 0.071 0.071 0.071 0.571 0.071 0.071
280,扫黑除恶啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
281,等个处理结果,0.571 0.071 0.071 0.071 0.071 0.071 0.071
282,在飞机上我也遇到过类似这种人后排那人两只脚岔开直接伸到我的座位扶手上还一直捶椅子背一路上太憋屈了,0.071 0.071 0.071 0.571 0.071 0.071 0.071
283,此生别让他们三坐高铁算了什么都别坐了,0.071 0.071 0.071 0.071 0.071 0.071 0.571
284,处罚不痛不痒,0.071 0.071 0.071 0.071 0.571 0.071 0.071
285,把打人的放在主语能难死吗,0.072 0.072 0.072 0.072 0.072 0.072 0.571
286,十分钟没人管冷漠社会南京法官高兴了,0.072 0.072 0.072 0.072 0.571 0.072 0.072
287,@中国铁路 哇塞好文明啊 好文明的乘车方式 快点拍个宣传片 标题就叫快来学最文明的乘车出行方式,0.024 0.857 0.024 0.024 0.024 0.024 0.024
288,拘五天确实少了,0.072 0.072 0.570 0.072 0.072 0.072 0.072
289,强烈建议不按座位号入座犯法至少处以行政拘留并罚款并且会高铁被列入黑名单我看谁还故意坐错,0.072 0.072 0.072 0.072 0.571 0.072 0.072
290,这让我想起了#北京政法职业学院 事件简直是如出一辙但愿我国社会上没有这么多政法职业学院吧,0.036 0.036 0.036 0.036 0.036 0.036 0.785
291,谁告诉你们的打了十分钟,0.571 0.072 0.072 0.072 0.072 0.072 0.072
292,相信最终的调查报告,0.072 0.571 0.072 0.072 0.072 0.072 0.072
293,老不要脸的哪来的心理创伤妈的早点去屎吧,0.571 0.072 0.072 0.072 0.072 0.072 0.072
294,老比登,0.571 0.072 0.072 0.072 0.072 0.072 0.072
295,如果我就赠他妈的全家捅,0.072 0.072 0.072 0.072 0.072 0.072 0.571
296,@中国铁路,0.071 0.071 0.071 0.071 0.071 0.072 0.571
297,直接加入高铁黑名单吧要不然去哪里都会影响到别人高铁你也不想让你的评分降低吧,0.571 0.072 0.072 0.072 0.072 0.072 0.072
298,高铁厌女吧//@我还叫波猪的海:这高铁上的工作人员哪去了十分钟这不比高铁上化妆严重,0.036 0.036 0.036 0.036 0.036 0.785 0.036
299,这个不光是霸座了这个已经犯罪了典型的寻衅滋事罪和故意伤害罪,0.072 0.571 0.072 0.072 0.072 0.072 0.072
300,罚款+拘留+黑名单,0.036 0.036 0.036 0.036 0.036 0.785 0.036
301,妈的中国人多了什么鸟人都有,0.072 0.072 0.570 0.072 0.072 0.072 0.072
302,这种人别出来丢人现眼了永久拉进高铁黑名单,0.571 0.072 0.072 0.072 0.072 0.072 0.072
303,10分钟别污蔑乘警乘务如真岂不渎职失职对打人者纳入高铁黑名单永不得乘车,0.072 0.072 0.072 0.072 0.571 0.072 0.072
304,没坐过高铁吗一家人都那么不讲理呢,0.571 0.072 0.072 0.072 0.072 0.072 0.072
305,这得打狂犬疫苗啊,0.072 0.571 0.072 0.072 0.072 0.072 0.072
306,当官打人家常饭有底气,0.072 0.072 0.072 0.571 0.072 0.072 0.072
307,渍渍渍以后都不敢坐高铁了呢害怕化妆被说不文明害怕刚下站台就吸二手烟害怕别人的臭脚熏到我更害怕被抢座了还被打十多分钟都没有工作人员制止,0.072 0.072 0.072 0.072 0.571 0.072 0.072
308,我觉得完全可以通过调取车厢监控辅佐证人证言以及当事人自述来还原事实真相有wf 行为该处罚处罚该赔偿赔偿该拘就据这样不仅更有利于维护法律权威也能起到杀一儆百的作用,0.048 0.048 0.714 0.048 0.048 0.048 0.048
309,就没一个人站出来说话吗后面那个老婆子打的这么狠毒,0.072 0.072 0.072 0.072 0.072 0.072 0.571
310,感觉可以刑事立案了伤口只要超过了3厘米就构成轻伤了,0.072 0.072 0.072 0.072 0.571 0.072 0.072
311,一男子占座不成一家三口殴打座位主人,0.072 0.072 0.072 0.072 0.072 0.571 0.072
312,好一个文明行为,0.072 0.072 0.570 0.072 0.072 0.072 0.072
313,在乘坐高铁时受到人身安全威胁十分钟还没人处理身心受到伤害直接起诉问责高铁,0.571 0.072 0.072 0.072 0.072 0.072 0.072
314,这一家子坏透了,0.571 0.072 0.072 0.072 0.072 0.072 0.072
315,阳刚,0.072 0.072 0.072 0.072 0.072 0.072 0.571
316,神经病能管管吗,0.072 0.072 0.072 0.072 0.072 0.072 0.571
317,哇哦好阳刚好man阳刚之气,0.072 0.072 0.072 0.571 0.072 0.072 0.072
318,好可怕,0.571 0.071 0.071 0.071 0.071 0.071 0.071
319,这种人比日本鬼子还可恨,0.072 0.571 0.072 0.072 0.072 0.072 0.072
320,这种有资格进宣传片吗,0.072 0.072 0.072 0.072 0.072 0.571 0.072
321,快爆,0.072 0.072 0.072 0.072 0.072 0.571 0.072
322,怎么不爆,0.571 0.072 0.072 0.072 0.072 0.072 0.072
323,没讲理的地方了吗 乘警不作为,0.048 0.714 0.048 0.048 0.048 0.048 0.048
324,从根本问题出发是占了别人的座位的人的问题再加上以多欺少殴打别人应该终生加入黑名单,0.072 0.072 0.570 0.072 0.072 0.072 0.072
325,依法治国依法严惩不能对坏人宽容,0.072 0.072 0.570 0.072 0.072 0.072 0.072
326,遇到这种人你要告诉他不要以为谁脑袋好使似的,0.072 0.072 0.072 0.072 0.571 0.072 0.072
327,铁道部加油,0.072 0.072 0.072 0.072 0.571 0.072 0.072
328,阳刚之气,0.571 0.072 0.072 0.072 0.072 0.072 0.072
329,应该送这三个人进监狱,0.072 0.072 0.072 0.072 0.072 0.571 0.072
330,高铁上碰到好多次换座的 但是只有一个地方的座位真没找我换过那就是二等座的B座哎 这是为什么呢,0.785 0.036 0.036 0.036 0.036 0.036 0.036
331,这才是不文明行为吧,0.072 0.072 0.072 0.072 0.571 0.072 0.072
332,委屈得想哭真是疑罪从无我肚子里只有一碗粉高铁化妆视频里那个散粉和乳液都是不符合事实的自己化一次就能感受到视频里的内容是复刻不出来凭空捏造的竟然还有人说肯定很多人投诉不然怎么会拍成视频也对他们肯定有他们的理由吧至于理由是不是有人投诉就无从得知了,0.072 0.072 0.570 0.072 0.072 0.072 0.072
333,化妆是不文明打人难道就文明了@中国铁路,0.048 0.048 0.377 0.048 0.048 0.048 0.384
334,太棒了中铁打人不管是吧,0.072 0.072 0.570 0.072 0.072 0.072 0.072
335,非常关注处理结果为老不尊的东西太多了,0.072 0.072 0.072 0.072 0.571 0.072 0.072
336,@狗兔调查所,0.072 0.072 0.072 0.072 0.072 0.072 0.571
337,怎么处理,0.072 0.072 0.072 0.072 0.571 0.072 0.072
338,@Aries小心心 @猫小鱼_7,0.048 0.048 0.048 0.048 0.714 0.048 0.048
339,高铁人员忙着检查化妆没功夫管打架,0.072 0.072 0.072 0.072 0.072 0.072 0.571
340,@中国铁路 你看见了吗你做了什么,0.048 0.048 0.048 0.048 0.379 0.048 0.383
341,这种人应该抓起来,0.072 0.072 0.570 0.072 0.072 0.072 0.072
342,如果我遇上去劝架被一起打了算什么,0.072 0.072 0.570 0.072 0.072 0.072 0.072
343,这个标题真的是绝了……一点都不好理解,0.048 0.048 0.048 0.048 0.048 0.048 0.714
344,打人看不见就看到人化妆了是吧,0.072 0.072 0.072 0.072 0.072 0.072 0.571
345,这种人不拉黑天理难容,0.072 0.072 0.570 0.072 0.072 0.072 0.072
346,就和稀泥行,0.072 0.072 0.072 0.072 0.072 0.072 0.571
347,@东狗不会别问了,0.072 0.072 0.072 0.072 0.072 0.072 0.571
348,打人者终身不准坐高铁并按治安条例处罚,0.072 0.571 0.072 0.072 0.072 0.072 0.072
349,求求了赶紧拘留吧,0.072 0.072 0.072 0.571 0.072 0.072 0.072
350,哟好阳刚好man哦铁铁就喜欢这样的乘客吧@中国铁路,0.048 0.048 0.048 0.048 0.048 0.048 0.714
351,警方通报是互殴呵呵呵,0.072 0.072 0.072 0.072 0.072 0.072 0.571
352,豆沙了,0.072 0.571 0.072 0.072 0.072 0.072 0.072
353,@西二条8号 害怕,0.048 0.714 0.048 0.048 0.048 0.048 0.048
354,三位善人啊这下半辈子有着落了,0.072 0.072 0.072 0.072 0.571 0.072 0.072
355,刑啊,0.072 0.072 0.072 0.072 0.072 0.571 0.072
356,不是众所周知民警和乘警只能管管小事打人这么大的事人家也害怕啊尤其是这么多人不敢上的一份工资一份活,0.571 0.072 0.072 0.072 0.072 0.072 0.072
357,铁路总局这管理水平太low,0.072 0.072 0.570 0.072 0.072 0.072 0.072
358,不会起标题就换个人很垃圾,0.571 0.072 0.072 0.072 0.072 0.072 0.072
359,拘留了没有啊,0.072 0.072 0.072 0.072 0.072 0.571 0.072
360,列入高铁黑名单,0.571 0.072 0.072 0.072 0.072 0.072 0.072
361,将这帮败类都宰了决不能让好人受伤害,0.072 0.072 0.570 0.072 0.072 0.072 0.072
362,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
363,这都不进黑名单,0.072 0.072 0.072 0.072 0.072 0.072 0.571
364,男子占座未遂一家三口暴打女子,0.072 0.072 0.072 0.072 0.072 0.571 0.072
365,自己的座位还不让坐了什么鬼,0.571 0.072 0.072 0.072 0.072 0.072 0.072
366,男子占座未遂一家三口暴打女子什么破标题,0.571 0.072 0.072 0.072 0.072 0.072 0.072
367,希望这次不拿年龄说事,0.072 0.072 0.072 0.571 0.072 0.072 0.072
368,可怜还是没钱惹的祸有钱谁坐那,0.072 0.072 0.570 0.072 0.072 0.072 0.072
369,就很文明,0.072 0.072 0.072 0.571 0.072 0.072 0.072
370,牢饭好吃三个人结伴去吃,0.072 0.072 0.570 0.072 0.072 0.072 0.072
371,这个标题主语真的是没完了是吧,0.571 0.072 0.072 0.072 0.072 0.072 0.072
372,区区打人群殴而已哪里有化妆恶性影响大,0.072 0.072 0.072 0.072 0.072 0.571 0.072
373,这难道不比化妆文明,0.072 0.072 0.570 0.072 0.072 0.072 0.072
374,团货,0.072 0.072 0.072 0.072 0.072 0.072 0.571
375,@中国铁路,0.071 0.071 0.071 0.071 0.071 0.072 0.571
376,现在人戾气很重改革开放钱包鼓了精神散了社会主义核心价值观存在感不强,0.072 0.072 0.072 0.072 0.571 0.072 0.072
377,6铁路局这不出来走两步定性一下不文明行为,0.072 0.072 0.570 0.072 0.072 0.072 0.072
378,无语工作人员消失了吗,0.072 0.072 0.072 0.072 0.072 0.571 0.072
379,最后双方达成和解,0.072 0.072 0.072 0.072 0.072 0.072 0.571
380,天呢这哪有高铁化妆危害大呀,0.072 0.072 0.072 0.571 0.072 0.072 0.072
381,拘留是肯定的了,0.072 0.072 0.072 0.072 0.072 0.072 0.571
382,乘警呢乘务呢,0.072 0.571 0.072 0.072 0.072 0.072 0.072
383,今年啥情况啊怎么高铁占座的新闻这么多啊,0.072 0.072 0.072 0.072 0.571 0.072 0.072
384,这就是恶势力,0.072 0.072 0.072 0.072 0.571 0.072 0.072
385,有些老年人拉帮结派可以定法了坏老人惹是生非的老人打死活该,0.072 0.072 0.072 0.072 0.072 0.072 0.571
386,高铁不让化妆 被占座居然打人这时候就不制止了,0.048 0.048 0.048 0.048 0.714 0.048 0.048
387,这个毒可能是骨子里的,0.072 0.072 0.072 0.072 0.571 0.072 0.072
388,这类戾气特别重的人建议拉入黑名单吧,0.072 0.072 0.570 0.072 0.072 0.072 0.072
389,加油华为,0.571 0.072 0.072 0.072 0.072 0.072 0.072
390,请保持文明乘坐高铁,0.072 0.072 0.570 0.072 0.072 0.072 0.072
391,告死它,0.072 0.072 0.072 0.072 0.072 0.571 0.072
392,寻衅滋事罪三只全部刑拘判刑,0.072 0.072 0.570 0.072 0.072 0.072 0.072
393,不好又是互殴吧,0.072 0.072 0.072 0.072 0.571 0.072 0.072
394,男子强占他人座位未果后殴打他人寻衅滋事,0.072 0.072 0.072 0.072 0.571 0.072 0.072
395,换回座位后还打人这种人要严惩,0.072 0.571 0.072 0.072 0.072 0.072 0.072
396,现在特别强调和解其实不对的成本太低了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
397,这社会多好出门还能挨骂又可以挨打比在家里舒服多了,0.072 0.072 0.072 0.072 0.571 0.072 0.072
398,来人啊把这人给我叉出去枪毙,0.072 0.072 0.072 0.571 0.072 0.072 0.072
399,真的很过分,0.072 0.072 0.072 0.072 0.072 0.571 0.072
400,这时候只要该女子掏出散粉乘警下一秒就会出现了……,0.072 0.072 0.072 0.072 0.571 0.072 0.072
401,这种人还用打马赛克他们自己脸都不要了,0.072 0.072 0.570 0.072 0.072 0.072 0.072
402,这种嚣张要是不付出代价那不是野蛮社会吗,0.072 0.072 0.570 0.072 0.072 0.072 0.072
403,真的是不是一家人不进一家门拉黑名单罚s他们,0.072 0.571 0.072 0.072 0.072 0.072 0.072
404,这种人以后禁止坐地铁就应该拉黑名单,0.072 0.072 0.072 0.072 0.072 0.072 0.571
405,无法无天这种人应该终身禁止乘坐公共交通,0.072 0.072 0.072 0.072 0.072 0.072 0.571
406,看吧不盯着霸坐这些不文明行为专门盯着一些鸡毛蒜皮的小事不放,0.072 0.072 0.072 0.072 0.072 0.072 0.571
407,这种打人的就应该被限制坐高铁,0.072 0.072 0.072 0.072 0.571 0.072 0.072
408,希望都抓进去 在里面一家人过中秋节,0.048 0.048 0.048 0.048 0.048 0.714 0.048
409,十分钟乘警都没出现,0.072 0.571 0.072 0.072 0.072 0.072 0.072
410,法办,0.072 0.072 0.570 0.072 0.072 0.072 0.072
411,意思是人家去你家住也可以的,0.072 0.072 0.072 0.571 0.072 0.072 0.072
412,这么久不出来发通告估计又是互相殴打了,0.072 0.072 0.072 0.072 0.072 0.571 0.072
413,10分钟,0.071 0.071 0.071 0.071 0.071 0.072 0.571
414,太猖狂了垃圾,0.072 0.072 0.570 0.072 0.072 0.072 0.072
415,寻衅滋事,0.071 0.071 0.071 0.071 0.071 0.571 0.071
416,根本原因是违法成本太低通常都是和稀泥的解决方案,0.072 0.072 0.072 0.072 0.571 0.072 0.072
417,欺人太甚报警处理就对了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
418,长达十分钟你们高铁工作人员是在装离线吗,0.571 0.072 0.072 0.072 0.072 0.072 0.072
419,一黑恶势力重判,0.072 0.072 0.072 0.571 0.072 0.072 0.072
420,这么嚣张吗,0.571 0.072 0.072 0.072 0.072 0.072 0.072
421,有必要遮遮掩掩吗这种直接曝光,0.571 0.072 0.072 0.072 0.072 0.072 0.072
422,@中国警方在线 看到没,0.048 0.048 0.048 0.048 0.048 0.048 0.714
423,太恶劣了对打人者必须狠狠的制裁从严,0.072 0.072 0.570 0.072 0.072 0.072 0.072
424,呼唤公序良俗善有善报恶有恶报不是不报时候未到#学力星球冤案# #读书有罪# #民营经济# #如何看待蜂花借李佳琦热点搞营销#,0.024 0.024 0.024 0.857 0.024 0.024 0.024
425,拘留吧里头案底不能坐飞机火车高铁精神赔偿,0.072 0.571 0.072 0.072 0.072 0.072 0.072
426,赶紧把这种人拉进高铁黑名单本来抢票就够难的了,0.071 0.071 0.071 0.071 0.071 0.571 0.071
427,高铁占座的事情屡屡发生都不了了之请问座位号的意义何在,0.072 0.072 0.072 0.072 0.571 0.072 0.072
428,问一下这也属于文明行为吗,0.072 0.072 0.072 0.072 0.571 0.072 0.072
429,十分钟,0.071 0.571 0.071 0.072 0.071 0.071 0.071
430,请更正你的标题明明是男子强占他人座位未果后殴打他人寻衅滋事不要刻意引导话题!正视事实!,0.714 0.048 0.048 0.048 0.048 0.048 0.048
431,阳刚是真阳刚,0.072 0.072 0.072 0.072 0.571 0.072 0.072
432,我来打拳乘务员乘警了怎么查化妆查这么久化妆比占别人位子打人还要恶劣懂了懂了,0.072 0.072 0.072 0.072 0.072 0.072 0.571
433,没有化妆严重捏,0.571 0.072 0.072 0.072 0.072 0.072 0.072
434,这个社会真的能保障我们的权益吗现在打人都不犯法了是吗,0.072 0.072 0.570 0.072 0.072 0.072 0.072
435,@中国铁路,0.071 0.071 0.071 0.071 0.071 0.072 0.571
436,别骂乘务员了人家在盯着女人有没有化妆呢可没空管大男人们的事,0.072 0.571 0.072 0.072 0.072 0.072 0.072
437,只讨论实战部分我认为应该抓住三人中的一个往死打至少最后心理能平衡点,0.072 0.072 0.072 0.072 0.072 0.072 0.571
438,吐了,0.071 0.071 0.071 0.071 0.071 0.571 0.071
439,打10分钟乘警睡着了,0.072 0.072 0.570 0.072 0.072 0.072 0.072
440,高铁怎么回事,0.571 0.072 0.072 0.072 0.072 0.072 0.072
441,整件事情跟石家庄有啥关系,0.072 0.072 0.570 0.072 0.072 0.072 0.072
442,@中国铁路 这个跟化妆比,0.048 0.048 0.048 0.048 0.379 0.048 0.383
443,10分钟看来车上的乘务员都去让家长管好小孩子了,0.571 0.072 0.072 0.072 0.072 0.072 0.072
444,不是乘务员呢,0.072 0.072 0.072 0.072 0.072 0.072 0.571
445,不理解@中国铁路,0.048 0.048 0.048 0.048 0.048 0.713 0.048
446,黑名单啥时候出,0.072 0.072 0.072 0.072 0.072 0.072 0.571
447,素质不好的 恶霸的麻烦赶紧黑名单吧,0.714 0.048 0.048 0.048 0.048 0.048 0.048
448,打多太过份了打太轻了,0.571 0.072 0.072 0.072 0.072 0.072 0.072
449,天生万物以养人人无一物以报天,0.571 0.072 0.072 0.072 0.072 0.072 0.072
450,我一直不明白为什么要给违法犯罪分子打码和匿名,0.072 0.072 0.072 0.571 0.072 0.072 0.072
451,这也太明目张胆了问题是打骂了10分钟没有乘警吗,0.072 0.072 0.072 0.571 0.072 0.072 0.072
452,法治社会,0.071 0.071 0.071 0.071 0.571 0.071 0.071
