,原文,主题分布向量
235,不予置评之前我遇到一个女的非要坐我老公位子我老公说给她坐算了气死我了我就A了她顺便把我老公也打了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
236,要求严办这不是欺负人吗,0.072 0.072 0.072 0.072 0.072 0.571 0.072
237,哎我真服了 去殴打司机吧 驾驶室宽敞,0.036 0.036 0.036 0.036 0.036 0.785 0.036
238,这乘务员在干嘛不制止吗,0.072 0.072 0.570 0.072 0.072 0.072 0.072
239,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
240,"打人, 賠藥費+坐牢",0.036 0.036 0.036 0.036 0.036 0.036 0.785
241,长达十分钟乘警呢铁路工作人员呢,0.072 0.072 0.072 0.571 0.072 0.072 0.072
242,高铁上时常发生这种事打人者把高铁车厢当成示威之地了,0.072 0.072 0.072 0.072 0.571 0.072 0.072
243,都什么人啊,0.071 0.071 0.071 0.071 0.571 0.071 0.071
244,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
245,有劲打人不坐回会累死——还是打人成本太低频频出现占座纠纷高铁方面有责任一起告,0.714 0.048 0.048 0.048 0.048 0.048 0.048
246,如今坐自己的位置上都不安全了,0.071 0.571 0.071 0.071 0.071 0.071 0.071
247,各种征信拉黑下吧,0.571 0.071 0.071 0.071 0.071 0.071 0.071
248,国庆期间要坐高铁 这让我感觉瑟瑟发抖,0.048 0.048 0.048 0.714 0.048 0.048 0.048
249,黑明单谁敢和这种人同车,0.571 0.071 0.071 0.071 0.071 0.071 0.071
250,高铁上打人跑不了该拘留拘留该判刑判刑吧,0.071 0.071 0.071 0.071 0.071 0.571 0.071
251,工作人员都跑了吧,0.071 0.071 0.071 0.571 0.071 0.071 0.071
252,打的漂亮,0.071 0.071 0.071 0.071 0.071 0.071 0.571
253,3头欺软怕硬的废物仗着人多欺负人家女的,0.071 0.071 0.071 0.071 0.071 0.071 0.571
254,三个人打一个人打十几分钟周围人是直接被502粘住了吗这是自助列车吗 没有列车员吗,0.048 0.048 0.048 0.048 0.714 0.048 0.048
